name,x,y,z,region
E238,-0.05683802816901408,0.005161971830985919,-0.11292605633802816,Lateral-Inferior/Jaw
E239,-0.06483802816901409,0.01616197183098592,-0.09792605633802816,Lateral-Inferior/Jaw
E240,-0.07083802816901408,0.02416197183098592,-0.07792605633802815,Lateral-Inferior/Jaw
E241,-0.07483802816901408,0.03316197183098592,-0.04392605633802816,Lateral-Inferior/Jaw
E242,-0.05283802816901408,0.02416197183098592,-0.11692605633802816,Lateral-Inferior/Jaw
E243,-0.07683802816901408,0.03116197183098592,0.02807394366197184,Temporal
E244,-0.07083802816901408,0.04416197183098592,0.030073943661971837,Fronto-Temporal
E245,-0.07183802816901408,0.02516197183098592,0.04307394366197184,Temporal
E246,-0.08283802816901407,0.01216197183098592,0.02907394366197184,Temporal
E247,-0.08383802816901408,0.02116197183098592,0.010073943661971839,Temporal
E248,-0.07883802816901408,0.03816197183098592,0.012073943661971839,Temporal
E249,-0.07083802816901408,0.055161971830985916,0.01507394366197184,Fronto-Temporal
E250,-0.061838028169014084,0.05816197183098592,0.03507394366197184,Fronto-Temporal
E251,-0.061838028169014084,0.04016197183098592,0.04707394366197184,Fronto-Temporal
E252,-0.05883802816901408,0.01916197183098592,0.060073943661971836,Central
E253,-0.07483802816901408,0.0071619718309859194,0.04907394366197184,Temporal
E254,-0.08483802816901408,-0.005838028169014081,0.03207394366197184,Temporal
E255,-0.08683802816901408,0.004161971830985919,0.01107394366197184,Temporal
E256,-0.08583802816901408,0.01616197183098592,-0.008926056338028161,Temporal
E257,-0.08083802816901409,0.03616197183098592,-0.007926056338028162,Temporal
E258,-0.07383802816901408,0.05216197183098592,-0.005926056338028161,Inferior-Frontal/Jaw
E259,-0.06683802816901407,0.06716197183098592,-0.003926056338028161,Orbital/Eye
E260,-0.061838028169014084,0.07316197183098593,0.019073943661971838,Fronto-Temporal
E261,-0.04783802816901408,0.055161971830985916,0.052073943661971836,Prefrontal
E262,-0.04683802816901408,0.03516197183098592,0.06207394366197184,Central
E263,-0.06383802816901409,-0.0018380281690140805,0.06307394366197185,Temporal
E264,-0.07683802816901408,-0.01283802816901408,0.05307394366197184,Temporal
E265,-0.08583802816901408,-0.013838028169014081,0.01507394366197184,Temporal
E266,-0.08683802816901408,-0.004838028169014081,-0.007926056338028162,Temporal
E267,-0.07983802816901409,0.02316197183098592,-0.02692605633802816,Temporal
E268,-0.07483802816901408,0.04216197183098592,-0.02992605633802816,Inferior-Frontal/Jaw
E269,-0.06883802816901408,0.05916197183098592,-0.02492605633802816,Inferior-Frontal/Jaw
E270,-0.061838028169014084,0.06216197183098592,-0.06792605633802816,Inferior-Frontal/Jaw
E271,-0.06583802816901409,0.04316197183098592,-0.08392605633802816,Inferior-Frontal/Jaw
E272,-0.07083802816901408,0.04316197183098592,-0.06292605633802816,Inferior-Frontal/Jaw
E273,-0.07183802816901408,0.05116197183098592,-0.04492605633802816,Inferior-Frontal/Jaw
E274,-0.06383802816901409,0.06816197183098592,-0.03992605633802816,Orbital/Eye
E275,-0.04783802816901408,0.07316197183098593,-0.09492605633802816,Orbital/Eye
E276,-0.05083802816901408,0.05416197183098592,-0.10692605633802817,Inferior-Frontal/Jaw
E277,-0.06083802816901408,0.03416197183098592,-0.09992605633802816,Lateral-Inferior/Jaw
E278,-0.05983802816901408,0.07716197183098591,-0.019926056338028162,Orbital/Eye
E279,-0.04783802816901408,0.09516197183098592,-0.01792605633802816,Orbital/Eye
E280,-0.03383802816901408,0.08616197183098592,-0.07692605633802817,Orbital/Eye
Cz,0.0001619718309859195,0.0011619718309859195,0.08607394366197184,Central
